content,date,like,place,tags
꽃구경 못했으니까집에 있는 꽃이랑🌼,2022-04-14,388,경기도 성남,[]
✌🏻#브이 #모란,2022-02-26,325,,"['#브이', '#모란']"
고기 맛있게 구워드립니다 ^.^,2022-01-21,197,모란역,[]
🧡💛,2022-03-09,173,카페쿠나,[]
마돈나돈나돈나 ˃̵͈̑ᴗ˂̵͈̑,2022-03-18,161,모란역,[]
🤦‍♀️••••#03 #04 #05 #고등학생 #좋아요 #좋아요반사 #좋반 #팔로우 #맞팔 #선팔하면맞팔 #인친 #일상 #데일리 #데일리룩 #성남 #모란 #비룸스튜디오 #fff #followforfollowback #f4f #follow4followback #lfl #likeforlikes #l4l #like4likes #フォローバック #韩国人 #다렉 #치마 #니트조끼,2022-03-20,"1,382",모란역,"['#03', '#04', '#05', '#고등학생', '#좋아요', '#좋아요반사', '#좋반', '#팔로우', '#맞팔', '#선팔하면맞팔', '#인친', '#일상', '#데일리', '#데일리룩', '#성남', '#모란', '#비룸스튜디오', '#fff', '#followforfollowback', '#f4f', '#follow4followback', '#lfl', '#likeforlikes', '#l4l', '#like4likes', '#', '#', '#다렉', '#치마', '#니트조끼']"
날씨 너무 좋아🔥,2022-03-29,452,피어몬트,[]
정신없이 먹을땐 주먹쥐고 먹는편..😌,2022-03-30,202,구월동에서,[]
#블랙,2022-03-16,107,경기도 성남,['#블랙']
None,2022-04-17,None,,[]
요즘 봄이 되서 그런가 #오렌지 칼라#에 꽂혀서 온통 다 오렌지빛 ! 종이도 좀 더 샤방샤방한 것 같아 새로운 종이 시도중 #모란#화병도#,2022-04-17,None,,"['#오렌지', '#에', '#모란', '#화병도', '#']"
요즘 봄이 되서 그런가 #오렌지 칼라#에 꽂혀서 온통 다 오렌지빛 ! 종이도 좀 더 샤방샤방한 것 같아 새로운 종이 시도중 #모란#화병도#,2022-04-17,None,,"['#오렌지', '#에', '#모란', '#화병도', '#']"
요즘 하체 컨디션 조아,2022-04-17,None,,[]
