content,date,like,place,tags
파인디자인 #중단발허쉬컷 #중단발레이어드컷 가벼운 허쉬컷에 #풀뱅 으로 유니크함 더하기!#키피컷 페이스라인 포인트로머리 묶을때도 유니크함 너낌 그대로 가져가기-!예약 문의 DM#단발허쉬컷#단발허쉬펌#허쉬컷#단발머리스타일#중단발스타일#단발레이어드컷#홍대미용실#홍대#순시키헤어#순시키파인,2022-04-17,424,순시키헤어 로맨틱 홍대점,"['#중단발허쉬컷', '#중단발레이어드컷', '#풀뱅', '#키피컷', '#단발허쉬컷', '#단발허쉬펌', '#허쉬컷', '#단발머리스타일', '#중단발스타일', '#단발레이어드컷', '#홍대미용실', '#홍대', '#순시키헤어', '#순시키파인']"
"#EXHIBITION⌜나의 아이에게⌟2022. 04. 18 - 05. 01갤러리아미디 [신촌]서울특별시 서대문구 신촌역로 21 2층@greedodam@gallery_amidi|| 관람시간 || 12:00 - 19:00 12:00 - 18:00(마지막 날)|| 전시소개 || 시대가 변하였지만 디지털 이미지로 접하는 그림은 한계가 있다. 작가의 생각을 전달할 수는 있지만 관객에게 감각과 감동을 전달하기에는 설명하지 못하는 질감과 형태들이 있다. 나의 작품은 물감을 쌓아 긁어내고 작가만의 종이를 잘라서 붙이며 질감 위에 색을 입혀 제작하기 때문이다. 물리적인 행위가 더해지는 그림은 내가 살아 있음을 확인해주는 생의 과정이다. 나는 이것을 직접 설명하고 사람들에게 보여주고 싶다. 그것은 그림으로 소통하는 작가의 소명이기 때문이다.나의 아이로부터 시작 된 이야기의 영감은 “공룡”을 매개로 캔버스와 종이 그리고 비단에 피어난다. 아이에게는 사랑, 온기, 위로, 격려, 보살핌 그 모든 것이 필요하다. 그 것의 시작이 집에서 마을로 확장되어 세상을 이루는 중요한 동력이 됨을 믿는다.|| 작가소개 ||“모든 어른은 아이었다.”나는 아이와 함께 즐길 수 있는 그림을 그린다. 생물학적 연령이 적은 아이부터 이미 성인이 되어버려 내면 어딘가에 지내고 있을 아이까지 내가 소통하고 싶은 아이들에게 그림으로 이야기를 걸어 본다.나는 살아서 “아이”에게 전달해주고 싶은 이야기가 있다. 그 이야기는 형과 색의 상징을 통해 집 그리고 가족으로 그려진다. 그리고 “아이”에게 세상을 버틸 수 있는 힘이 “사랑”임을 말하고 싶다. 아이에게는 다음 날의 희망과 세상을 살아낼 힘을 보여주고 아이였던 사람에게는 고단한 삶의 위로와 안온함을 전달한다. 그것은 사랑을 바탕으로 이루어지는 상호작용이다. 아이는 세상의 희망이고 빛이며 사랑이다. 아이는 어른에게 무조건 적인 보호와 사랑을 받아야 한다. 나는 그것을 그림으로 환기한다. 다음날을 살아내야 하는 나와 당신도 아이였기 때문이다.",2022-04-17,113,갤러리 아미디 신촌,['#EXHIBITION']
어려지고 싶은 39세의 노력 이 물거품이 되지 않기를 ?? 어느덧 4월도 벌써 중순이 지나가네요 다음주부터 풀리는 거리두기 그리고 2주후에 마스크 착용 여부 오래 기다려 온 만큼 새롭게 시작하는 마음으로 뭔가 활기차고 얻어가는 새삶이 되었으면 좋겠어요 ^^ #인친님들 모두 핸복한 22년을 시작하시길 바래요 ...#셀스타그램 #얼스타그램 #셀카 #셀피 #셀기꾼 #39 #타투 #서울 #압구정 #논현 #신림 #강남 #홍대 #가로수길#이태원 #청담 #역삼 #잠실 #일상 #데일리 #협찬 #맞팔 #좋아요 #인친 #自撮り#day #성형 #서른아홉,2022-04-16,194,잠실볼링장,"['#인친님들', '#셀스타그램', '#얼스타그램', '#셀카', '#셀피', '#셀기꾼', '#39', '#타투', '#서울', '#압구정', '#논현', '#신림', '#강남', '#홍대', '#가로수길', '#이태원', '#청담', '#역삼', '#잠실', '#일상', '#데일리', '#협찬', '#맞팔', '#좋아요', '#인친', '#', '#day', '#성형', '#서른아홉']"
"#중단발레이어드펌돌아오는 따뜻한 계절과 함께 #레이어드컷 과 #c컬펌 이 어울어진꾸안꾸 스타일🤍꾸민듯 안꾸민듯 털어만 말려도 예쁜손질편한 스타일이에요,//Aube , 오브연남예약은 프로필하단 참고해주세요",2022-04-17,177,홍대 연남동,"['#중단발레이어드펌돌아오는', '#레이어드컷', '#c컬펌']"
今おきた？,2022-04-16,378,,[]
"“Mermaid & Butterfly”Thank you 😊 Done at @sticky_tattoo_studio tattoo&designer🇰🇷 👉 4 BookingMinors❌ Custom design 👌hapjeong , Sangsu DM or open kakao(Profile)#tadi_tattoo",2022-04-17,463,홍대 상수역 근처,['#tadi']
"◽️안녕하세요 홍대점 오버마운트 나영 입니다 *....쿠퍼브라운에 핑크 한방울✨#핑크쿠퍼브라운....✨탈색1회+ 토닝 + 단백질 + 염색 290,000(40% sale )✔️175,000...오버마운트 홍대점은 현재 ✨20~40% sale event ✨중 입니다(기장추가 x)자세한 상담은 상단에 참고해 주세요:D...#홍대미용실#오버마운트홍대#오버마운트나영#오버마운트",2022-04-17,168,홍대,"['#핑크쿠퍼브라운', '#홍대미용실', '#오버마운트홍대', '#오버마운트나영', '#오버마운트']"
돌고돌아 역시 흑발이 체고.. o̴̶̷̥᷅⌓o̴̶̷᷄ 머리 너무 상해서 빗질할때 스트레스 왕창이었는데 영양 받아서 부들부들 넘 기분 져아 ღ,2022-04-17,208,헤어나드림,[]
숙취죽겠네 진짜🤍💛🧡💜💚💙♥️❤️‍🔥,2022-04-17,220,제주도 제주,[]
오랜만에 다같이 너무좋다😄💕...#인스타그램 #일상스타그램 #주말 #홍대맛집 #홍대 #청록양식 #홍대공감 #막이오름,2022-04-17,None,,"['#인스타그램', '#일상스타그램', '#주말', '#홍대맛집', '#홍대', '#청록양식', '#홍대공감', '#막이오름']"
