카카오위치명,위도,경도,인스타위치명
분당정자동카페골목,37.370150892237,127.10613880132,분당구
ounce28.35,37.36147503410842,127.10499099482757,OUNCE 28.35
판교역 신분당선,37.3947766273829,127.111196698916,판교백현동
율동공원,37.3784081470585,127.152112503385,율동공원 Yuldong Park
롯데월드,37.51131985755065,127.09806349478795,송파구
운중천,37.3888721666183,127.086476030847,판교
능라도 본점,37.3917474696144,127.065181344398,능라도 본점
그린그라스,37.38070465170323,127.04569477207087,그린그라스
수원화성,37.2869569586225,127.011795743342,경기도 수원
대한민국,37.5067075025853,127.062417480704,대한민국
이매역 경강선,37.3947135146921,127.127318661399,이매역
그래비티 서울 판교 오토그래프컬렉션,37.393393688910116,127.11009472551052,그래비티 서울 판교 오토그래프 컬렉션
기아 위례지점,37.46479530704159,127.14170261126064,"위례, Wirye"
파미어스몰,37.413162538074836,127.09832848506997,파미어스몰
시즌,37.39780747249276,127.11139994364189,판교 시즌
현대어린이책미술관,37.3927863593394,127.112056531148,현대어린이책미술관
백금당 판교,37.385442542937,127.114441706133,백금당판교
신구대학교식물원,37.434521776864386,127.08086767385282,경기도 성남
현대백화점 판교점,37.39279718014944,127.11204751299005,판교 현대백화점
앤디쉬 그래비티 서울 판교,37.3933666372572,127.110117271781,그래비티 판교 앤디쉬
Week and weekend 도림점,37.5089463742608,126.901650066376,Ｗｅｅｋｅｎｄ
업투휘트니스 판교점,37.38833605241745,127.1150355550044,업투휘트니스 분당판교점
뀌숑,37.38477413730078,127.11145066713685,뀌숑
올덴브라운,37.3864941665633,127.115235994872,올덴브라운
대전시청 남문광장,36.3494105170771,127.384869398294,대전 둔산동
모아니,37.36462901697801,127.08914505132057,카페 모아니
더쉐프인젤코바,37.3902587522162,127.08282338564,The Chef in Zelkova
리얼스페인 판교점,37.3847816553057,127.112076234534,리얼스페인-판교점
리스카페,37.38607547566592,127.1121278443362,Lees cafe
서판교성당,37.3852509663473,127.074547834076,서판교 운중동
야탑역 수인분당선,37.4113736407028,127.128742990837,야탑역
수내역 수인분당선,37.3784687674046,127.114288846291,수내역
야탑역광장,37.4118319368872,127.128210618758,성남 분당 야탑
검단사거리역 인천2호선,37.6016612295398,126.65643839271,검단사거리역
손상원클라이밍짐,37.4020787290633,127.107046695574,손상원클라이밍짐
카페랄로 판교점,37.39376964923493,127.04757394892715,카페랄로 판교점
백현동카페거리,37.385247022625,127.111611709186,백현동 카페거리
수하담,37.39983173753569,127.09639336296024,수하담
목탄장 판교점,37.39755671196916,127.11264299187017,목탄장
카페톤,37.31376739432189,127.26226958100965,Cafe TONN
도넛드로잉,37.3526306443227,127.100734834548,도넛드로잉
파크하얏트 서울,37.50873196084404,127.06428310006892,Park Hyatt Seoul - 파크하얏트서울
북한산둘레길 구름정원길8구간,37.62612118319853,126.93626843562683,서울
더댄디라이언,37.39140850105799,127.09015469382366,더댄디라이언
해운대해수욕장,35.1585232170784,129.159854668484,부산
하우스도산,37.525365775581726,127.03568053926668,하우스도산 HAUS DOSAN
하나스시,37.4021008120189,127.110466619207,하나스시
파네트리 제과명장 김영모,37.4200513342161,127.104049216177,파네트리 제과명장 김영모
헬로오드리,37.3799454644151,127.047033413254,헬로오드리
여의나루역 5호선,37.5271469489465,126.93298596744,여의나루
랑데자뷰 서현점,37.3858921808979,127.125939695243,랑데자뷰 서현점
알파리움타워 1동,37.39519661999472,127.10913744118014,판교 알파리움
