카카오위치명,위도,경도,인스타위치명
요괴냥수비대,37.5531869023298,126.922908642452,Cafe 요괴냥수비대
JAMJAM &BREAD,37.4569082412148,126.703482302087,Jamjam
합정역 2호선,37.54991315995173,126.91445406513526,합정역
대창석유 동명주유소,35.14978244269389,126.92987570739486,동명동
어디가손세차장,37.55759470684954,126.94203094468874,홍대 어딘가
대전오월드,36.2893534027601,127.397754143625,대전광역시
쇠소깍,33.25424606530691,126.62240514256442,제주도 쇠소깍
황리단길,35.8393348165945,129.209645417434,황리단길
유타커피라운지,35.9841151188276,128.557789334784,유타커피라운지
광안리주유소,35.1496861966458,129.113807383592,광안리에서
태양커피,37.49019571439706,126.99281974774532,태양커피
압구정로데오거리,37.5267558230172,127.039152029523,로데오에서
마곡엠밸리9단지아파트,37.561988570615476,126.81891819203237,마곡지구
김봉남포장마차 가로수길근처점,37.519497615662,127.024859040201,성수동근처
서울한양도성 낙산구간2코스,37.58079664277135,127.00863578989066,낙산공원 서울성곽길
벌툰 홍대본점,37.550604561853106,126.92007762539521,벌툰홍대
리가스퀘어오피스텔,37.46361140737223,126.68254108386826,리가
알라뷰,37.3140574089893,126.837593575676,알라뷰
홍익대학교 서울캠퍼스,37.550874837441,126.925554591431,홍대
아라리오뮤지엄 탑동시네마,33.51739573130005,126.52339165751819,아라리오뮤지엄 Arario Museum
토즈모임센터 홍대점,37.5608705509283,126.92282376287972,연남동
북한산둘레길 구름정원길8구간,37.62612118319853,126.93626843562683,서울
이태원거리,37.5345613066561,126.99580922812,이태원
카이정헤어 서교점,37.55256236643349,126.91866431775408,카이정헤어
홍대입구역 2호선,37.5568707448873,126.923778562273,홍대입구역
인천둘레길 2코스,37.54411984257326,126.69011978495455,연희동
명동거리,37.5620769169639,126.984901336292,명동
에버랜드,37.293101115700345,127.20219830178264,경기도 용인
오크우드프리미어 인천,37.3890316735321,126.644199167873,송도 오크우드호텔
서울숲카페거리,37.5464440372535,127.043028992489,성수동
bvbb크로와상샵,37.5675337767485,126.988721584744,BVBB
로네펠트티하우스 한남점,37.53584980374066,127.00140298232738,로네펠트한남
대전시청 남문광장,36.3494105170771,127.384869398294,대전 둔산동
ZARA 가로수길점,37.5226975712768,127.0223872140865,가로수길
썸띵어바웃커피,37.502824775159816,127.02779847587531,썸띵어바웃커피
대구E월드,35.85322716591636,128.56658131032162,대구
씨스루 홍대연남점,37.5630743577583,126.925583200391,씨스루 - C.through 홍대연남점
광안리해수욕장,35.1531932736837,129.118976093583,광안리
33게이트,35.15873083286038,129.06403271502742,33게이트
북한산둘레길 안골길15구간,37.73377597376686,127.03121985464924,경기도 의정부
신이도가,37.551417826935,126.920916457885,신이도가
영일대해수욕장,36.0550695749354,129.378187000619,경상북도 포항
동궁과월지,35.8347762643542,129.226975518857,경주
레이어드 연남점,37.5649763702769,126.924182307844,레이어드 연남
본태박물관,33.30377089594179,126.39247966305703,본태미술관
노랑통닭 영등포역점,37.51815797524991,126.90920097913677,노랑통닭
한밭수목원,36.3691431776998,127.388037583592,대전
이그니토 커피로스터스,37.447640857041,126.704364200364,Ignito coffee roasters 이그니토
달이빛나는밤에,36.0025888606485,126.726914722427,밤에
TheColorSpot꿈속의 자연,37.5572472338664,126.924985767299,더컬러스팟
레치키치 스튜디오,37.557568553545,126.927329331386,레치키치
경주대릉원,35.83814999833691,129.21233472051617,대릉원
경주월드,35.836252574629924,129.28206598992438,경상북도 경주
RPM,37.52667117676039,127.03900717905655,RPM seoul
앤스,37.563946131833,126.924966600366,앤스커피클럽
안녕인사동,37.574514077728,126.983529078926,안녕인사동
그로브,35.8658753709999,128.597799952799,동성로 그로브
누데이크 하우스도산,37.5253657755817,127.035680539267,누데이크
전포카페거리,35.1554466988384,129.062569363766,전포동
상당산성,36.661500521968684,127.54000290906747,청주시
오프오,35.2318392779641,129.243859440865,오프오
수원역,37.2657903079673,127.000094700292,수원역 - KTX/Korail
롯데월드,37.51131985755065,127.09806349478795,롯데월드
인쌩맥주,36.8318059587802,127.135414821691,인쌩맥주
랑데자뷰 해운대점,35.159213573080514,129.1704344021573,랑데자뷰 해운대
더빅바이트,36.9636261266819,127.044337115786,빅바이트
하트하트재단,37.49693158428231,127.12577310406037,하트하트
슬로우캘리 연남본점,37.56135179473061,126.92580901460133,슬로우캘리
크레이지카츠,37.5504475197438,126.90970501895275,크레이지카츠 - CRAZY KATSU
인사동 문화의거리,37.5745467832909,126.985591616819,인사동
hbd,37.5228986991651,127.044076571367,HBD
AMG SEOUL,37.5251230282347,127.033904321455,서울 - Seoul
소마드로잉카페 홍대점,37.5534662256421,126.925742139979,소마드로잉카페
해운대해수욕장,35.1585232170784,129.159854668484,부산
대부도,37.246138589609,126.596768094707,대부도
혜화역 4호선,37.58204391787134,127.00194500977393,혜화역 대학로
한담해안산책로,33.4593234504188,126.310468326159,한담해안산책로
아원고택,35.9035176790886,127.244621143181,아원고택
산방산,33.24156429646764,126.3133696404118,제주 산방산
서울시립미술관 남서울미술관,37.47607534453375,126.9794807787916,서울시립 남서울미술관
수영만요트경기장,35.16026170107591,129.14127264196568,요트경기장
오파토,37.5434986748748,126.987824490348,오파토
앞산카페거리,35.835640692434,128.578944420386,앞산카페거리
국립현대미술관 서울관,37.578627489574416,126.9800979573524,국립현대미술관 서울관
디피랑,34.840718450179864,128.43057723220903,경상남도 통영
YG엔터테인먼트,37.54885386444588,126.9076473683962,YG Entertainment
로담,35.28771235082209,128.99496449630453,로담
K현대미술관,37.524349883168405,127.03913323759338,K현대미술관
투썸플레이스 창원귀산점,35.16997606310404,128.5973459251951,투썸플레이스
진해루,35.1471878451042,128.685630440299,경남 창원시 진해
순천만습지,34.8856119885429,127.509555018979,전라남도 순천
법기수원지,35.3479744338598,129.106296714053,경상남도 양산
비브레이브,35.1543080083646,129.064979810142,비브레이브 서면
슈발츠발트,35.1584080293534,129.126647601883,발트
올루 에스프레소바,37.5651610834185,126.922805754241,올루에스프레소바
안양천,37.5271859663193,126.881665362707,안양천
경의선숲길,37.558803479324,126.925338455597,연남동 경의선숲길
뉴오더클럽,37.5610590758941,126.924552986639,New Order Club
프랑꼬아트랩,37.503916745749315,127.0280024526838,프랑꼬아트랩
홍대벽화거리,37.5507442326996,126.924201253317,상수동
바다회사랑,37.5604116806539,126.921063142318,바다회사랑
인어브리즈,35.98757916439094,128.57517010257453,인어브리즈
